jobname,company,location,time,image
BB Analytics (VP),United Overseas Bank (Thai) Public Company Limited (UOB),กรุงเทพมหานคร,5 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Business Intelligence & Customer Analytic,"Mitr Phol Sugar Corp., Ltd.",คลองเตย,5 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Data Analytics,"TD Tawandang Co., Ltd.",บางรัก,20 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Data Analyst,SGS (Thailand) Limited,ยานนาวา,10 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Actuarial officer,Aioi Bangkok Insurance Public Company Limited,สาทร,19 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Business Development (Digital/Tech Savy),Bangkokbank (BBL),บางคอแหลม,10 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Clinical Data Manager,"Mahidol-Oxford Research Unit,",พญาไท,41 นาทีที่แล้ว,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Business Analyst - Data Management,TMB Bank Public Company Limited,จตุจักร,5 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Regional BI Developer,"aCommerce Co., Ltd.",วัฒนา,11 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Project Manager (Banking/Insurance),Coforge Limited,กรุงเทพมหานคร,21 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Business Analyst,TMB Bank Public Company Limited,จตุจักร,18 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Data PM/PMO,Krungsri Bank (Bank of Ayudhya PCL.),ยานนาวา,1 วันที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Manager Data Scientist ,RS Group,จตุจักร,5 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Data Analyst ,Indorama Ventures Global Services Limited (Head Office),วัฒนา,5 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Data Strategist (VP),Krungsri Bank (Bank of Ayudhya PCL.),ยานนาวา,1 วันที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Data Analytics Product Owner,Krungsri Bank (Bank of Ayudhya PCL.),ยานนาวา,1 วันที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Senior Data Analyst (True Money),"Ascend Group Co., Ltd.",กรุงเทพมหานคร,10 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Data Intelligence Role(Shared Service : Cambodia),FWD Life Public Company Limited,กรุงเทพมหานคร,1 วันที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Managment Information System (MIS),Bangkokbank (BBL),บางรัก,1 วันที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Data Analytics Expert,PTG Energy Public Company Limited,ห้วยขวาง,1 วันที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Consulting Manager - Digital Transformation,"BTI Executive Search (Thailand) Co., Ltd.",คลองเตย,1 วันที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Data Manager,TCP Group,บางบอน,1 วันที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
Lead Data Scientist,Adecco Recruitment (Thailand) Limited,กรุงเทพมหานคร,10 ชั่วโมงที่ผ่านมา,https://image-service-cdn.seek.com.au/0dd46b249e110fd3f41be1d68d1745459c885fac/ee4dce1061f3f616224767ad58cb2fc751b8d2dc
